scope,quantity,n,mean,ci_lo,ci_hi,p,p_holm
grok-4.5/DIAG/oracle,stockout_total $/wk,544,32.892,23.399,43.559,,
grok-4.5/DIAG/model,levers $/wk,544,81.155,66.427,96.009,,
grok-4.5/DIAG/oracle,levers $/wk,544,56.986,41.438,73.15,,
grok-4.5/DIAG/model,incident $/wk,544,40.409,28.676,53.238,,
grok-4.5/DIAG/oracle,incident $/wk,544,32.252,23.175,42.273,,
grok-4.5/DIAG/model,total $/wk,544,365.059,333.133,398.232,,
grok-4.5/DIAG/oracle,total $/wk,544,284.098,257.842,310.557,,
grok-4.5/UNDIAG/model,procurement $/wk,95,63.01,46.623,81.264,,
grok-4.5/UNDIAG/oracle,procurement $/wk,95,62.982,42.078,94.046,,
grok-4.5/UNDIAG/model,holding_total $/wk,95,123.808,113.9,134.233,,
grok-4.5/UNDIAG/oracle,holding_total $/wk,95,96.835,89.872,103.717,,
grok-4.5/UNDIAG/model,stockout_total $/wk,95,2.564,0.488,5.5,,
grok-4.5/UNDIAG/oracle,stockout_total $/wk,95,31.891,13.215,54.562,,
grok-4.5/UNDIAG/model,levers $/wk,95,85.01,52.353,120.284,,
grok-4.5/UNDIAG/oracle,levers $/wk,95,19.222,6.53,36.757,,
grok-4.5/UNDIAG/model,incident $/wk,95,6.03,0.473,14.965,,
grok-4.5/UNDIAG/oracle,incident $/wk,95,11.352,3.494,20.907,,
grok-4.5/UNDIAG/model,total $/wk,95,280.422,237.252,329.898,,
grok-4.5/UNDIAG/oracle,total $/wk,95,222.282,182.739,272.965,,
grok-4.5/CALM/model,procurement $/wk,623,59.605,53.056,66.285,,
grok-4.5/CALM/oracle,procurement $/wk,623,64.656,57.468,73.339,,
grok-4.5/CALM/model,holding_total $/wk,623,115.35,109.031,121.984,,
grok-4.5/CALM/oracle,holding_total $/wk,623,98.788,97.305,100.219,,
grok-4.5/CALM/model,stockout_total $/wk,623,12.89,6.154,21.062,,
grok-4.5/CALM/oracle,stockout_total $/wk,623,12.924,7.199,19.671,,
grok-4.5/CALM/model,levers $/wk,623,19.699,14.767,24.733,,
grok-4.5/CALM/oracle,levers $/wk,623,7.061,4.681,9.957,,
grok-4.5/CALM/model,incident $/wk,623,0.482,0.199,0.826,,
grok-4.5/CALM/oracle,incident $/wk,623,0.519,0.261,0.814,,
grok-4.5/CALM/model,total $/wk,623,208.026,195.692,221.537,,
grok-4.5/CALM/oracle,total $/wk,623,183.948,174.375,194.148,,
deepseek-v4-pro/DIAG/model,procurement $/wk,469,97.617,83.051,114.204,,
deepseek-v4-pro/DIAG/oracle,procurement $/wk,469,67.949,58.632,77.647,,
deepseek-v4-pro/DIAG/model,holding_total $/wk,469,133.098,121.312,145.457,,
deepseek-v4-pro/DIAG/oracle,holding_total $/wk,469,95.495,92.4,98.261,,
deepseek-v4-pro/DIAG/model,stockout_total $/wk,469,37.058,26.526,48.288,,
deepseek-v4-pro/DIAG/oracle,stockout_total $/wk,469,36.941,26.219,48.897,,
deepseek-v4-pro/DIAG/model,levers $/wk,469,66.719,51.186,82.728,,
deepseek-v4-pro/DIAG/oracle,levers $/wk,469,59.712,43.116,77.232,,
deepseek-v4-pro/DIAG/model,incident $/wk,469,45.07,31.693,59.929,,
deepseek-v4-pro/DIAG/oracle,incident $/wk,469,35.357,25.441,46.323,,
deepseek-v4-pro/DIAG/model,total $/wk,469,379.563,343.017,420.92,,
deepseek-v4-pro/DIAG/oracle,total $/wk,469,295.454,267.152,324.102,,
deepseek-v4-pro/UNDIAG/model,procurement $/wk,170,61.339,44.788,79.577,,
deepseek-v4-pro/UNDIAG/oracle,procurement $/wk,170,60.534,47.161,78.472,,
deepseek-v4-pro/UNDIAG/model,holding_total $/wk,170,133.024,120.207,146.572,,
deepseek-v4-pro/UNDIAG/oracle,holding_total $/wk,170,96.983,91.2,102.46,,
deepseek-v4-pro/UNDIAG/model,stockout_total $/wk,170,4.83,0.523,10.457,,
deepseek-v4-pro/UNDIAG/oracle,stockout_total $/wk,170,32.615,13.124,57.343,,
deepseek-v4-pro/UNDIAG/model,levers $/wk,170,64.528,41.969,89.312,,
deepseek-v4-pro/UNDIAG/oracle,levers $/wk,170,36.517,20.022,55.975,,
deepseek-v4-pro/UNDIAG/model,incident $/wk,170,12.733,5.091,21.76,,
deepseek-v4-pro/UNDIAG/oracle,incident $/wk,170,13.321,6.165,21.618,,
deepseek-v4-pro/UNDIAG/model,total $/wk,170,276.453,238.961,315.148,,
deepseek-v4-pro/UNDIAG/oracle,total $/wk,170,239.969,206.253,277.892,,
deepseek-v4-pro/CALM/model,procurement $/wk,623,63.011,55.532,70.561,,
deepseek-v4-pro/CALM/oracle,procurement $/wk,623,64.656,57.468,73.339,,
deepseek-v4-pro/CALM/model,holding_total $/wk,623,129.493,117.927,141.643,,
deepseek-v4-pro/CALM/oracle,holding_total $/wk,623,98.788,97.305,100.219,,
deepseek-v4-pro/CALM/model,stockout_total $/wk,623,11.23,5.019,18.91,,
deepseek-v4-pro/CALM/oracle,stockout_total $/wk,623,12.924,7.199,19.671,,
deepseek-v4-pro/CALM/model,levers $/wk,623,24.96,17.346,33.548,,
deepseek-v4-pro/CALM/oracle,levers $/wk,623,7.061,4.681,9.957,,
deepseek-v4-pro/CALM/model,incident $/wk,623,0.475,0.197,0.806,,
deepseek-v4-pro/CALM/oracle,incident $/wk,623,0.519,0.261,0.814,,
deepseek-v4-pro/CALM/model,total $/wk,623,229.168,215.145,244.024,,
deepseek-v4-pro/CALM/oracle,total $/wk,623,183.948,174.375,194.148,,
F3,gpt-5.4 holding_total DIAG model-oracle $/wk,50,3.231,-2.537,8.918,0.27,0.27
F3,claude-sonnet-5 holding_total DIAG model-oracle $/wk,50,-10.205,-13.873,-6.365,0.0,0.0
F3,grok-4.5 holding_total DIAG model-oracle $/wk,50,25.469,18.004,33.521,0.0,0.0
F3,deepseek-v4-pro holding_total DIAG model-oracle $/wk,50,37.603,25.941,49.672,0.0,0.0
F4,gpt-5.4 procurement DIAG model-oracle $/wk,50,-4.117,-13.74,5.8,0.41,0.46
F4,claude-sonnet-5 procurement DIAG model-oracle $/wk,50,4.974,-2.929,13.278,0.23,0.46
F4,grok-4.5 procurement DIAG model-oracle $/wk,50,19.548,8.195,31.186,0.0004,0.0012
F4,deepseek-v4-pro procurement DIAG model-oracle $/wk,50,29.669,14.446,46.79,0.0,0.0
F5,sonnet air DIAG model-oracle $/wk,50,65.36,49.467,83.05,0.0,0.0
