model,seed,mean_detection_lag,n_episodes,n_never_detected,knowing_doing_rate,n_undetectable
anthropic-claude-sonnet-5,0,0.0,3,0,0.14285714285714285,1
anthropic-claude-sonnet-5,1,0.0,5,0,0.2727272727272727,0
anthropic-claude-sonnet-5,9,2.3333333333333335,8,2,0.2727272727272727,1
anthropic-claude-sonnet-5,11,0.0,3,0,0.0,0
anthropic-claude-sonnet-5,12,4.0,6,1,0.5,0
anthropic-claude-sonnet-5,14,1.3333333333333333,6,0,0.1,0
anthropic-claude-sonnet-5,21,0.25,5,1,0.125,0
anthropic-claude-sonnet-5,24,0.0,1,0,0.0,0
anthropic-claude-sonnet-5,25,0.0,5,0,0.14285714285714285,1
anthropic-claude-sonnet-5,29,0.2,5,0,0.26666666666666666,1
anthropic-claude-sonnet-5,33,0.16666666666666666,7,1,0.16666666666666666,0
anthropic-claude-sonnet-5,36,0.0,2,0,0.0,0
anthropic-claude-sonnet-5,39,0.42857142857142855,7,0,0.15384615384615385,0
anthropic-claude-sonnet-5,44,0.2857142857142857,7,0,0.23529411764705882,1
anthropic-claude-sonnet-5,53,0.2,5,0,0.375,1
anthropic-claude-sonnet-5,58,0.5555555555555556,9,0,0.4,0
anthropic-claude-sonnet-5,60,0.0,5,0,0.09090909090909091,0
anthropic-claude-sonnet-5,72,0.0,6,1,0.4444444444444444,1
anthropic-claude-sonnet-5,74,0.25,6,2,0.18181818181818182,0
anthropic-claude-sonnet-5,75,0.0,7,2,0.2857142857142857,0
anthropic-claude-sonnet-5,82,0.2857142857142857,8,1,0.16666666666666666,0
anthropic-claude-sonnet-5,85,0.2,5,0,0.2222222222222222,1
anthropic-claude-sonnet-5,86,0.0,3,0,0.0,0
anthropic-claude-sonnet-5,90,0.0,7,1,0.0,0
anthropic-claude-sonnet-5,91,0.5,2,0,0.2,1
anthropic-claude-sonnet-5,94,0.375,8,0,0.21428571428571427,1
anthropic-claude-sonnet-5,95,2.0,4,0,0.0,0
anthropic-claude-sonnet-5,99,0.375,9,1,0.2857142857142857,0
anthropic-claude-sonnet-5,100,0.0,8,0,0.25,0
anthropic-claude-sonnet-5,108,0.7142857142857143,7,0,0.46153846153846156,1
anthropic-claude-sonnet-5,112,0.0,2,0,0.16666666666666666,0
anthropic-claude-sonnet-5,119,2.25,4,0,0.21428571428571427,0
anthropic-claude-sonnet-5,135,0.0,6,0,0.0,0
anthropic-claude-sonnet-5,143,0.0,6,0,0.058823529411764705,0
anthropic-claude-sonnet-5,145,0.3333333333333333,6,0,0.06666666666666667,0
anthropic-claude-sonnet-5,148,0.0,3,0,0.0,0
anthropic-claude-sonnet-5,154,0.4444444444444444,9,0,0.0,0
anthropic-claude-sonnet-5,157,0.3333333333333333,3,0,0.0,0
anthropic-claude-sonnet-5,160,0.0,2,0,0.2,1
anthropic-claude-sonnet-5,163,0.2,5,0,0.5454545454545454,0
anthropic-claude-sonnet-5,164,0.0,7,1,0.1111111111111111,0
anthropic-claude-sonnet-5,168,0.8,5,0,0.13333333333333333,1
anthropic-claude-sonnet-5,169,0.0,5,0,0.0,0
anthropic-claude-sonnet-5,170,0.2,5,0,0.26666666666666666,1
anthropic-claude-sonnet-5,172,0.3333333333333333,4,1,0.2,0
anthropic-claude-sonnet-5,178,0.2,6,1,0.25,0
anthropic-claude-sonnet-5,187,0.0,8,0,0.0,0
anthropic-claude-sonnet-5,189,0.0,3,0,0.0,0
anthropic-claude-sonnet-5,194,0.0,2,0,0.25,2
anthropic-claude-sonnet-5,198,0.0,6,0,0.18181818181818182,1
deepseek-deepseek-v4-pro,0,1.0,3,0,0.16666666666666666,1
deepseek-deepseek-v4-pro,1,0.6,5,0,0.5,0
deepseek-deepseek-v4-pro,9,1.6666666666666667,8,2,0.0,1
deepseek-deepseek-v4-pro,11,0.0,3,0,0.0,0
deepseek-deepseek-v4-pro,12,0.16666666666666666,6,0,0.0,0
deepseek-deepseek-v4-pro,14,0.5,6,0,0.2,0
deepseek-deepseek-v4-pro,21,0.0,5,1,0.2222222222222222,0
deepseek-deepseek-v4-pro,24,0.0,1,0,0.0,0
deepseek-deepseek-v4-pro,25,0.0,5,0,0.14285714285714285,1
deepseek-deepseek-v4-pro,29,0.2,5,0,0.23076923076923078,1
deepseek-deepseek-v4-pro,33,0.0,7,1,0.21428571428571427,0
deepseek-deepseek-v4-pro,36,0.5,2,0,0.0,0
